stratum,r,gene_set
any_pair,0.0873,all
any_pair,0.065,all
any_pair,0.0378,all
any_pair,0.0556,all
any_pair,0.0227,all
any_pair,0.0702,all
any_pair,0.0643,all
any_pair,0.0187,all
any_pair,0.049,all
any_pair,0.0544,all
any_pair,0.0009,all
any_pair,0.013,all
any_pair,0.0559,all
any_pair,0.1221,all
any_pair,0.0294,all
any_pair,0.0691,all
any_pair,0.1076,all
any_pair,0.0898,all
any_pair,0.0477,all
any_pair,0.0782,all
any_pair,0.043,all
any_pair,0.0467,all
any_pair,0.0475,all
any_pair,-0.003,all
any_pair,0.0491,all
any_pair,0.0384,all
any_pair,0.0053,all
any_pair,0.0123,all
any_pair,0.0073,all
any_pair,0.0619,all
any_pair,-0.0033,all
any_pair,0.0208,all
any_pair,0.038,all
diff_drug,0.0811,all
diff_drug,0.0291,all
diff_drug,0.0067,all
diff_drug,0.0311,all
diff_drug,0.0325,all
diff_drug,0.037,all
diff_drug,0.0115,all
diff_drug,0.0428,all
diff_drug,0.0232,all
diff_drug,0.0323,all
diff_drug,0.0596,all
diff_drug,0.0167,all
diff_drug,0.0674,all
diff_drug,-0.0036,all
diff_drug,0.0603,all
diff_drug,0.0034,all
diff_drug,0.0199,all
diff_drug,0.037,all
diff_drug,0.0328,all
diff_drug,0.0453,all
diff_drug,0.137,all
diff_drug,0.0201,all
diff_drug,0.0004,all
diff_drug,0.0842,all
diff_drug,0.049,all
diff_drug,0.0175,all
diff_drug,0.0207,all
diff_drug,-0.0033,all
diff_drug,0.0435,all
diff_drug,0.0508,all
diff_drug,0.0217,all
diff_drug,0.0124,all
diff_drug,0.0498,all
diff_drug,0.0304,all
diff_drug,0.0255,all
diff_drug,0.0204,all
diff_drug,0.0354,all
diff_drug,0.034,all
diff_drug,0.0605,all
diff_drug,0.0307,all
diff_drug,-0.0136,all
diff_drug,0.1392,all
diff_drug,0.0199,all
diff_drug,0.0423,all
diff_drug,0.0632,all
diff_drug,0.0215,all
diff_drug,0.0192,all
diff_drug,0.0399,all
diff_drug,0.0359,all
diff_drug,0.0139,all
diff_drug,0.0367,all
diff_drug,0.0377,all
diff_drug,0.0771,all
diff_drug,0.0549,all
diff_drug,0.1142,all
diff_drug,0.0315,all
diff_drug,0.0456,all
diff_drug,0.0386,all
diff_drug,0.0536,all
diff_drug,0.0197,all
diff_drug,0.0583,all
diff_drug,0.0354,all
diff_drug,0.0366,all
diff_drug,0.0199,all
diff_drug,0.0578,all
diff_drug,0.0206,all
diff_drug,0.032,all
diff_drug,-0.0008,all
diff_drug,0.0269,all
diff_drug,0.0187,all
diff_drug,0.0476,all
diff_drug,0.1741,all
diff_drug,0.0645,all
diff_drug,0.0322,all
diff_drug,0.0399,all
diff_drug,0.1066,all
diff_drug,0.0437,all
diff_drug,0.0257,all
diff_drug,0.079,all
diff_drug,-0.007,all
diff_drug,0.0504,all
diff_drug,0.0187,all
diff_drug,0.0735,all
diff_drug,0.0007,all
diff_drug,0.057,all
diff_drug,0.0433,all
diff_drug,0.0068,all
diff_drug,0.0492,all
diff_drug,0.0634,all
diff_drug,0.0585,all
diff_drug,0.0322,all
diff_drug,0.0181,all
diff_drug,0.0039,all
diff_drug,0.0656,all
diff_drug,0.0481,all
diff_drug,0.038,all
diff_drug,0.0162,all
diff_drug,0.0109,all
diff_drug,0.0593,all
diff_drug,0.0315,all
diff_drug,0.0667,all
diff_drug,0.0352,all
diff_drug,0.0756,all
diff_drug,0.0697,all
diff_drug,0.0088,all
diff_drug,0.1414,all
diff_drug,0.0856,all
diff_drug,0.0602,all
diff_drug,0.0348,all
diff_drug,-0.0004,all
diff_drug,0.078,all
diff_drug,0.0323,all
diff_drug,0.0436,all
diff_drug,0.0172,all
diff_drug,0.052,all
diff_drug,0.0522,all
diff_drug,0.0482,all
diff_drug,0.0463,all
diff_drug,0.0955,all
diff_drug,0.0322,all
diff_drug,0.0251,all
diff_drug,0.0456,all
diff_drug,0.0101,all
diff_drug,0.0225,all
diff_drug,0.0068,all
diff_drug,-0.0021,all
diff_drug,0.0282,all
diff_drug,0.0483,all
diff_drug,0.0375,all
diff_drug,-0.025,all
diff_drug,0.0284,all
diff_drug,0.0147,all
diff_drug,0.0088,all
diff_drug,0.0561,all
diff_drug,0.049,all
diff_drug,0.0599,all
diff_drug,0.0299,all
diff_drug,0.0831,all
diff_drug,0.0322,all
diff_drug,0.0729,all
diff_drug,0.0742,all
diff_drug,-0.0199,all
diff_drug,-0.0013,all
diff_drug,0.0538,all
diff_drug,0.072,all
diff_drug,0.0467,all
diff_drug,0.6294,all
diff_drug,0.0671,all
diff_drug,0.0039,all
diff_drug,0.0981,all
diff_drug,0.051,all
diff_drug,0.0235,all
diff_drug,0.0018,all
diff_drug,0.073,all
diff_drug,0.0366,all
diff_drug,0.068,all
diff_drug,0.0448,all
diff_drug,0.0388,all
diff_drug,-0.0286,all
diff_drug,0.0046,all
diff_drug,0.0396,all
diff_drug,0.0063,all
diff_drug,0.076,all
diff_drug,0.0067,all
diff_drug,0.1116,all
diff_drug,0.0597,all
diff_drug,0.1628,all
diff_drug,0.0075,all
diff_drug,0.0384,all
diff_drug,0.0709,all
diff_drug,0.0245,all
diff_drug,0.0781,all
diff_drug,-0.0058,all
diff_drug,0.1137,all
diff_drug,0.0537,all
diff_drug,0.0383,all
diff_drug,0.0745,all
diff_drug,0.0282,all
diff_drug,0.1002,all
diff_drug,0.0462,all
diff_drug,0.0027,all
diff_drug,0.0557,all
diff_drug,0.0571,all
diff_drug,0.0308,all
diff_drug,0.0246,all
diff_drug,0.0219,all
diff_drug,0.0407,all
diff_drug,-0.0357,all
diff_drug,0.0305,all
diff_drug,0.022,all
diff_drug,0.0044,all
diff_drug,0.0144,all
diff_drug,-0.0034,all
diff_drug,0.0975,all
diff_drug,0.0375,all
diff_drug,0.0211,all
diff_drug,0.0329,all
diff_drug,0.0291,all
diff_drug,0.0451,all
diff_drug,0.0264,all
diff_drug,0.1379,all
diff_drug,0.0653,all
diff_drug,0.0207,all
diff_drug,0.0501,all
diff_drug,0.0275,all
diff_drug,0.0366,all
diff_drug,0.0659,all
diff_drug,-0.0137,all
diff_drug,0.0498,all
diff_drug,0.0393,all
diff_drug,0.0243,all
diff_drug,0.0704,all
diff_drug,0.0396,all
diff_drug,0.1273,all
diff_drug,0.0078,all
diff_drug,0.043,all
diff_drug,0.0674,all
diff_drug,0.0369,all
diff_drug,0.1578,all
diff_drug,0.0732,all
diff_drug,0.1437,all
diff_drug,0.0292,all
diff_drug,0.0881,all
diff_drug,0.0046,all
diff_drug,0.0229,all
diff_drug,0.0335,all
diff_drug,0.025,all
diff_drug,0.051,all
diff_drug,0.0572,all
diff_drug,0.0396,all
diff_drug,0.0311,all
diff_drug,0.0496,all
diff_drug,0.0262,all
diff_drug,0.0603,all
diff_drug,-0.0082,all
diff_drug,0.1006,all
diff_drug,0.03,all
diff_drug,0.0256,all
diff_drug,0.0409,all
diff_drug,0.0349,all
diff_drug,0.0197,all
diff_drug,-0.0334,all
diff_drug,-0.0179,all
diff_drug,0.0646,all
diff_drug,0.0114,all
diff_drug,0.0338,all
diff_drug,0.0507,all
diff_drug,0.0876,all
diff_drug,0.0313,all
diff_drug,0.0842,all
diff_drug,0.0912,all
diff_drug,0.014,all
diff_drug,0.0782,all
diff_drug,0.0238,all
diff_drug,0.0247,all
diff_drug,0.086,all
diff_drug,0.1357,all
diff_drug,0.0498,all
diff_drug,0.0425,all
diff_drug,0.0266,all
diff_drug,0.0541,all
diff_drug,0.0735,all
diff_drug,0.0677,all
diff_drug,0.0535,all
diff_drug,0.0592,all
diff_drug,0.0626,all
diff_drug,0.0591,all
diff_drug,0.0526,all
diff_drug,0.0183,all
diff_drug,0.0087,all
diff_drug,0.0491,all
diff_drug,0.0417,all
diff_drug,0.037,all
diff_drug,0.0505,all
diff_drug,0.0417,all
diff_drug,0.0058,all
diff_drug,0.1051,all
diff_drug,0.003,all
diff_drug,0.0541,all
diff_drug,0.029,all
diff_drug,0.0625,all
diff_drug,-0.0051,all
diff_drug,0.0139,all
diff_drug,-0.0098,all
diff_drug,0.0477,all
diff_drug,0.066,all
diff_drug,0.0641,all
diff_drug,0.0783,all
diff_drug,0.0284,all
diff_drug,0.0281,all
diff_drug,0.1275,all
diff_drug,0.0474,all
diff_drug,0.0585,all
diff_drug,0.0094,all
diff_drug,0.0251,all
diff_drug,-0.0023,all
diff_drug,0.0512,all
diff_drug,0.0435,all
diff_drug,0.0351,all
diff_drug,0.0197,all
diff_drug,0.0405,all
diff_drug,0.0583,all
diff_drug,0.0388,all
diff_drug,-0.0424,all
diff_drug,-0.0021,all
diff_drug,0.0411,all
diff_drug,0.0276,all
diff_drug,0.0828,all
diff_drug,0.0607,all
diff_drug,-0.0484,all
diff_drug,0.0364,all
diff_drug,0.0382,all
diff_drug,0.0349,all
diff_drug,0.0781,all
diff_drug,0.0987,all
diff_drug,0.0637,all
diff_drug,0.0553,all
diff_drug,0.0169,all
diff_drug,0.0314,all
diff_drug,0.0152,all
diff_drug,0.0621,all
diff_drug,0.0482,all
diff_drug,0.1092,all
diff_drug,0.0318,all
diff_drug,0.0162,all
diff_drug,-0.0215,all
diff_drug,0.0062,all
diff_drug,0.0405,all
diff_drug,0.0484,all
diff_drug,0.0285,all
diff_drug,0.0297,all
diff_drug,0.0337,all
diff_drug,0.0487,all
diff_drug,0.0324,all
diff_drug,-0.0432,all
diff_drug,0.0195,all
diff_drug,0.0042,all
diff_drug,0.0291,all
diff_drug,0.0611,all
diff_drug,0.0506,all
diff_drug,-0.0003,all
diff_drug,0.0239,all
diff_drug,0.0555,all
diff_drug,0.0823,all
diff_drug,-0.0142,all
diff_drug,-0.0095,all
diff_drug,0.0666,all
diff_drug,0.0493,all
diff_drug,0.0505,all
diff_drug,0.1257,all
diff_drug,0.0527,all
diff_drug,0.0686,all
diff_drug,0.0426,all
diff_drug,0.0228,all
diff_drug,0.0585,all
diff_drug,0.0402,all
diff_drug,0.038,all
diff_drug,0.0336,all
diff_drug,-0.0017,all
diff_drug,0.0808,all
diff_drug,0.0786,all
diff_drug,0.1913,all
diff_drug,0.0175,all
diff_drug,0.0448,all
diff_drug,-0.0098,all
diff_drug,0.0287,all
diff_drug,0.0546,all
diff_drug,0.0392,all
diff_drug,0.0731,all
diff_drug,0.0248,all
diff_drug,0.0582,all
diff_drug,0.0502,all
diff_drug,0.0382,all
diff_drug,0.0833,all
diff_drug,0.0085,all
diff_drug,0.054,all
diff_drug,0.1004,all
diff_drug,-0.02,all
diff_drug,0.0341,all
diff_drug,0.0709,all
diff_drug,0.0306,all
diff_drug,0.0408,all
diff_drug,0.0756,all
diff_drug,-0.0235,all
diff_drug,0.0791,all
diff_drug,0.0477,all
diff_drug,0.0198,all
diff_drug,0.0154,all
diff_drug,0.0871,all
diff_drug,0.0729,all
diff_drug,-0.0124,all
diff_drug,0.0671,all
diff_drug,0.1341,all
diff_drug,0.0399,all
diff_drug,0.0165,all
diff_drug,0.0225,all
diff_drug,0.0332,all
diff_drug,0.0546,all
diff_drug,0.0669,all
diff_drug,0.0323,all
diff_drug,0.0122,all
diff_drug,0.0311,all
diff_drug,0.1064,all
diff_drug,0.0564,all
diff_drug,0.0532,all
diff_drug,0.002,all
diff_drug,0.0364,all
diff_drug,0.0544,all
diff_drug,0.0583,all
diff_drug,0.0499,all
diff_drug,0.0529,all
diff_drug,-0.017,all
diff_drug,0.0548,all
diff_drug,0.0108,all
diff_drug,0.0283,all
diff_drug,-0.0106,all
diff_drug,0.0162,all
diff_drug,0.0554,all
diff_drug,0.0442,all
diff_drug,0.0632,all
diff_drug,0.0182,all
diff_drug,0.032,all
diff_drug,0.0586,all
diff_drug,0.1184,all
diff_drug,0.0329,all
diff_drug,0.0585,all
diff_drug,0.0453,all
diff_drug,-0.0195,all
diff_drug,0.1253,all
diff_drug,0.0096,all
diff_drug,0.0343,all
diff_drug,0.0257,all
diff_drug,0.0362,all
diff_drug,0.0919,all
diff_drug,0.034,all
diff_drug,0.0244,all
diff_drug,0.0248,all
diff_drug,0.0448,all
diff_drug,0.0406,all
diff_drug,0.0314,all
diff_drug,0.0487,all
diff_drug,0.0414,all
diff_drug,0.0944,all
diff_drug,0.0519,all
diff_drug,0.0473,all
diff_drug,0.06,all
diff_drug,0.0244,all
diff_drug,0.0254,all
diff_drug,0.0573,all
diff_drug,0.0639,all
diff_drug,0.022,all
diff_drug,0.0156,all
diff_drug,0.0518,all
diff_drug,-0.0325,all
diff_drug,-0.0163,all
diff_drug,0.0618,all
diff_drug,0.0503,all
diff_drug,-0.0046,all
diff_drug,0.0631,all
diff_drug,0.0825,all
diff_drug,-0.0079,all
diff_drug,0.0692,all
diff_drug,0.0672,all
diff_drug,0.0577,all
diff_drug,0.0424,all
diff_drug,0.0667,all
diff_drug,0.0233,all
diff_drug,0.0426,all
diff_drug,0.01,all
diff_drug,0.0441,all
diff_drug,0.056,all
diff_drug,-0.0361,all
diff_drug,0.0408,all
diff_drug,0.0485,all
diff_drug,0.066,all
diff_drug,0.0574,all
diff_drug,0.0781,all
diff_drug,0.0083,all
diff_drug,0.0904,all
diff_drug,0.0541,all
diff_drug,0.0083,all
diff_drug,0.0707,all
diff_drug,0.0321,all
diff_drug,0.055,all
diff_drug,0.046,all
diff_drug,0.0428,all
diff_drug,0.0365,all
diff_drug,-0.0294,all
diff_drug,0.0811,all
diff_drug,-0.0075,all
diff_drug,0.0313,all
diff_drug,0.0226,all
diff_drug,0.0511,all
diff_drug,0.003,all
diff_drug,0.0322,all
diff_drug,0.0252,all
diff_drug,0.033,all
diff_drug,0.1254,all
diff_drug,0.0683,all
diff_drug,-0.0001,all
same_drug,0.0918,all
same_drug,-0.0292,all
same_drug,0.0607,all
same_drug,0.0474,all
same_drug,0.0527,all
same_drug,0.0566,all
same_drug,0.0803,all
same_drug,0.0307,all
same_drug,0.037,all
same_drug,0.0801,all
same_drug,0.0512,all
same_drug,0.014,all
same_drug,0.0806,all
same_drug,0.0243,all
same_drug,0.0587,all
same_drug,0.1001,all
same_drug,0.1001,all
same_drug,0.0459,all
same_drug,0.1503,all
same_drug,0.0318,all
same_drug,0.0555,all
same_drug,0.0687,all
same_drug,0.0665,all
same_drug,0.0937,all
same_drug,0.096,all
same_drug,0.0563,all
same_drug,0.0993,all
same_drug,0.0083,all
same_drug,0.0325,all
same_drug,0.1048,all
same_drug,0.0679,all
same_drug,0.0585,all
same_drug,0.0159,all
same_drug,0.0656,all
same_drug,0.0272,all
same_drug,0.0936,all
same_drug,0.1335,all
same_drug,0.1131,all
same_drug,0.0343,all
same_drug,0.0191,all
same_drug,0.0257,all
same_drug,0.1174,all
same_drug,0.1047,all
same_drug,0.0527,all
same_drug,0.0999,all
same_drug,0.0394,all
same_drug,0.0187,all
same_drug,0.0285,all
same_drug,0.0726,all
same_drug,0.09,all
same_drug,0.0406,all
same_drug,0.1335,all
same_drug,0.0124,all
same_drug,0.0368,all
same_drug,0.0423,all
same_drug,-0.0254,all
same_drug,0.0693,all
same_drug,0.0396,all
same_drug,0.1532,all
same_drug,0.0459,all
same_drug,0.0808,all
same_drug,0.0268,all
same_drug,-0.0035,all
same_drug,-0.0262,all
same_drug,0.0507,all
same_drug,0.0612,all
same_drug,0.0296,all
same_drug,0.0647,all
same_drug,0.096,all
same_drug,0.394,all
same_drug,0.0406,all
same_drug,0.074,all
same_drug,0.1228,all
same_drug,0.0569,all
same_drug,0.0547,all
same_drug,0.1262,all
same_drug,0.1069,all
same_drug,0.0782,all
same_drug,0.082,all
same_drug,0.0384,all
same_drug,0.0779,all
same_drug,0.0953,all
same_drug,0.0392,all
same_drug,0.0293,all
same_drug,0.0355,all
same_drug,0.0437,all
same_drug,0.0341,all
same_drug,0.0634,all
same_drug,0.0356,all
same_drug,0.0328,all
same_drug,0.0716,all
same_drug,0.0547,all
same_drug,0.1443,all
same_drug,0.0699,all
same_drug,0.1028,all
same_drug,-0.0003,all
same_drug,0.1581,all
same_drug,0.0517,all
same_drug,0.0657,all
same_drug,0.066,all
same_drug,0.0386,all
same_drug,0.0822,all
same_drug,0.1111,all
same_drug,0.0642,all
same_drug,0.0107,all
same_drug,0.0871,all
same_drug,0.0732,all
same_drug,0.02,all
same_drug,0.0616,all
same_drug,0.0695,all
same_drug,0.0081,all
same_drug,0.117,all
same_drug,0.0293,all
same_drug,0.0249,all
same_drug,0.0437,all
same_drug,0.106,all
same_drug,0.125,all
same_drug,0.1122,all
same_drug,0.0529,all
same_drug,0.1117,all
same_drug,0.0219,all
same_drug,0.0623,all
same_drug,0.0583,all
same_drug,0.0726,all
same_drug,0.1181,all
