stratum,r
any_pair,0.0412
any_pair,-0.0027
any_pair,0.0249
any_pair,0.0765
any_pair,0.0611
any_pair,0.0521
any_pair,0.021
any_pair,-0.0079
any_pair,0.0401
any_pair,0.1042
any_pair,0.0128
any_pair,0.0629
any_pair,0.0127
any_pair,-0.0044
any_pair,0.0519
any_pair,0.0674
any_pair,-0.0059
any_pair,0.025
any_pair,0.0322
any_pair,0.0245
any_pair,0.0628
any_pair,0.0034
any_pair,0.023
any_pair,0.0057
any_pair,0.0143
any_pair,0.0424
any_pair,0.0442
any_pair,0.0118
any_pair,0.0344
any_pair,0.0274
any_pair,0.0568
any_pair,0.0262
any_pair,-0.0468
any_pair,0.0325
any_pair,0.0415
any_pair,0.0324
any_pair,0.063
any_pair,0.0096
any_pair,0.0557
any_pair,0.0169
any_pair,0.0454
any_pair,-0.0282
any_pair,0.0221
any_pair,0.032
any_pair,0.0563
any_pair,-0.0026
any_pair,0.0303
any_pair,0.1102
any_pair,0.3166
any_pair,0.0528
any_pair,0.0519
any_pair,0.0394
any_pair,0.029
any_pair,0.0649
any_pair,0.0775
any_pair,0.0257
any_pair,0.0067
any_pair,0.1202
any_pair,0.0367
any_pair,0.0206
any_pair,0.039
any_pair,0.0707
any_pair,0.1228
any_pair,0.0624
any_pair,0.0507
any_pair,0.0165
any_pair,0.0111
any_pair,0.059
any_pair,0.065
any_pair,-0.0139
any_pair,0.065
any_pair,0.0272
any_pair,0.0504
any_pair,0.0337
any_pair,-0.0129
any_pair,0.0263
any_pair,0.044
any_pair,0.0076
any_pair,0.0214
any_pair,0.0522
any_pair,0.056
any_pair,0.0162
any_pair,0.0322
any_pair,0.0334
any_pair,0.1267
any_pair,0.0331
any_pair,0.0741
any_pair,0.0526
any_pair,0.0103
any_pair,0.0464
any_pair,0.0618
any_pair,0.025
any_pair,0.0274
any_pair,0.1144
any_pair,0.0418
any_pair,0.0549
any_pair,-0.0087
any_pair,-0.0049
any_pair,0.0198
any_pair,0.0275
any_pair,0.0259
any_pair,0.0446
any_pair,0.0246
any_pair,0.0185
any_pair,0.0227
any_pair,0.0166
any_pair,0.0338
any_pair,0.1583
any_pair,0.0413
any_pair,0.0809
any_pair,0.053
any_pair,-0.0132
any_pair,-0.0015
any_pair,0.0535
any_pair,0.063
any_pair,-0.0129
any_pair,0.0195
any_pair,0.0428
any_pair,0.13
any_pair,0.0617
any_pair,0.0574
any_pair,0.0349
any_pair,0.0063
any_pair,-0.1067
any_pair,0.0496
any_pair,0.0547
any_pair,-0.0175
any_pair,-0.0136
any_pair,0.0314
any_pair,0.0435
any_pair,0.0899
any_pair,0.0391
any_pair,0.0078
any_pair,0.0549
any_pair,-0.0498
any_pair,-0.0017
any_pair,0.043
any_pair,0.0289
any_pair,0.042
any_pair,0.0247
any_pair,0.0235
any_pair,0.046
any_pair,0.0041
any_pair,0.0737
any_pair,0.0328
any_pair,0.0728
any_pair,0.0321
any_pair,0.0177
any_pair,0.0599
any_pair,0.059
any_pair,0.1506
any_pair,0.0208
any_pair,0.035
any_pair,0.0161
any_pair,0.0367
any_pair,0.0164
any_pair,0.0282
any_pair,-0.0196
any_pair,-0.022
any_pair,0.0538
any_pair,0.0446
any_pair,0.0013
any_pair,0.0794
any_pair,0.0014
any_pair,0.0626
any_pair,0.0396
any_pair,0.0752
any_pair,0.0415
any_pair,-0.008
any_pair,0.0405
any_pair,0.0216
any_pair,-0.0212
any_pair,0.0261
any_pair,-0.0077
any_pair,0.0593
any_pair,0.1201
any_pair,0.0494
any_pair,0.0464
any_pair,0.0241
any_pair,0.1022
any_pair,0.076
any_pair,0.0125
any_pair,0.0279
any_pair,0.0022
any_pair,0.0685
any_pair,-0.0006
any_pair,0.0233
any_pair,0.0286
any_pair,0.0992
any_pair,0.0115
any_pair,0.0516
any_pair,0.0853
any_pair,0.0264
any_pair,-0.0011
any_pair,0.0574
any_pair,0.0025
any_pair,0.0179
any_pair,-0.0174
any_pair,0.0337
any_pair,0.0124
any_pair,0.0043
any_pair,0.0429
any_pair,0.0638
any_pair,0.0896
any_pair,0.0031
any_pair,0.0393
any_pair,0.0592
any_pair,0.0395
any_pair,0.0636
any_pair,0.0443
any_pair,0.0352
any_pair,0.1387
any_pair,0.0373
any_pair,0.0058
any_pair,0.0448
any_pair,-0.0368
any_pair,0.0368
any_pair,0.0504
any_pair,0.0107
any_pair,0.0146
any_pair,0.0012
any_pair,0.2019
any_pair,0.0524
any_pair,0.089
any_pair,0.0143
any_pair,0.0037
any_pair,0.0099
any_pair,0.0636
any_pair,0.0314
any_pair,0.0032
any_pair,0.0307
any_pair,0.0331
any_pair,0.046
any_pair,0.048
any_pair,-0.009
any_pair,-0.0845
any_pair,-0.0068
any_pair,0.0778
any_pair,0.0013
any_pair,0.0846
any_pair,0.0077
any_pair,-0.0074
any_pair,0.0269
any_pair,0.0037
any_pair,0.1218
any_pair,0.06
any_pair,0.0801
any_pair,0.1031
any_pair,0.0423
any_pair,0.0647
any_pair,-0.0237
any_pair,0.0158
any_pair,0.0036
any_pair,0.0633
any_pair,0.0461
any_pair,0.0495
any_pair,0.0093
any_pair,-0.0248
any_pair,0.0319
any_pair,0.0165
any_pair,0.0416
any_pair,0.047
any_pair,0.0467
any_pair,0.0206
any_pair,0.0542
any_pair,0.0485
any_pair,0.0596
any_pair,0.0229
any_pair,0.0409
any_pair,0.0633
any_pair,-0.0191
any_pair,0.0276
any_pair,-0.0053
any_pair,0.0631
any_pair,0.0631
any_pair,0.0459
any_pair,0.0381
any_pair,0.0229
any_pair,0.0803
any_pair,0.0014
any_pair,0.0401
any_pair,0.0753
any_pair,0.0284
any_pair,0.0088
any_pair,0.085
any_pair,0.0677
any_pair,0.0326
any_pair,0.0596
any_pair,0.0079
any_pair,0.0256
any_pair,0.017
any_pair,-0.0021
any_pair,0.0469
any_pair,0.0035
any_pair,0.0375
any_pair,-0.0231
any_pair,-0.0215
any_pair,0.0663
any_pair,-0.0031
any_pair,0.0279
any_pair,0.056
any_pair,0.0353
any_pair,0.0542
any_pair,0.0134
any_pair,0.017
any_pair,-0.0031
any_pair,0.0182
any_pair,-0.0624
any_pair,0.031
any_pair,-0.0189
any_pair,0.0715
any_pair,0.0033
any_pair,0.036
any_pair,0.0291
any_pair,0.0696
any_pair,0.0025
any_pair,-0.0032
any_pair,0.0367
any_pair,0.0245
any_pair,-0.0284
any_pair,0.0409
any_pair,0.073
any_pair,0.0283
any_pair,0.0787
any_pair,0.0285
any_pair,0.085
any_pair,0.0953
any_pair,0.0468
any_pair,0.0125
any_pair,-0.0255
any_pair,0.006
any_pair,0.0836
any_pair,0.0238
any_pair,0.014
any_pair,0.0418
any_pair,0.0401
any_pair,0.0523
any_pair,0.0259
any_pair,0.0009
any_pair,-0.0091
any_pair,0.0346
any_pair,0.0418
any_pair,0.0029
any_pair,0.0153
any_pair,0.0177
any_pair,-0.0571
any_pair,0.1706
any_pair,0.0072
any_pair,-0.0043
any_pair,0.0948
any_pair,0.0338
any_pair,-0.0578
any_pair,0.0391
any_pair,0.002
any_pair,0.0954
any_pair,0.047
any_pair,-0.0391
any_pair,0.0553
any_pair,0.0334
any_pair,0.0197
any_pair,0.13
any_pair,0.0
any_pair,0.039
any_pair,0.0188
any_pair,0.012
any_pair,0.0238
any_pair,0.241
any_pair,0.0201
any_pair,0.0131
any_pair,0.0449
any_pair,-0.0164
any_pair,0.0218
any_pair,0.015
any_pair,0.086
any_pair,0.0741
any_pair,0.0586
any_pair,0.0388
any_pair,0.0161
any_pair,0.0818
any_pair,0.0349
any_pair,0.0208
any_pair,0.0221
any_pair,-0.0342
any_pair,0.0224
any_pair,0.0007
any_pair,0.0386
any_pair,0.0617
any_pair,0.0089
any_pair,0.0531
any_pair,0.0261
any_pair,0.0376
any_pair,-0.0292
any_pair,0.0456
any_pair,0.045
any_pair,0.028
any_pair,-0.0142
any_pair,0.0389
any_pair,0.0669
any_pair,-0.0061
diff_drug,0.0095
diff_drug,-0.0639
diff_drug,0.007
diff_drug,0.0119
diff_drug,0.0231
diff_drug,0.0235
diff_drug,0.0003
diff_drug,0.0505
diff_drug,0.0529
diff_drug,-0.0049
diff_drug,0.0259
diff_drug,0.0346
diff_drug,0.0412
diff_drug,0.0408
diff_drug,0.0265
diff_drug,0.0424
diff_drug,0.0118
diff_drug,0.0163
diff_drug,0.0276
diff_drug,0.0378
diff_drug,0.0485
diff_drug,0.0259
diff_drug,0.0249
diff_drug,0.0666
diff_drug,0.0459
diff_drug,-0.0022
diff_drug,0.0251
diff_drug,-0.0042
diff_drug,0.0056
diff_drug,0.012
diff_drug,-0.0184
diff_drug,0.0445
diff_drug,0.0649
diff_drug,-0.0101
diff_drug,0.028
diff_drug,0.0309
diff_drug,-0.0575
diff_drug,0.0368
diff_drug,0.0236
diff_drug,-0.0026
diff_drug,0.0637
diff_drug,0.009
diff_drug,0.0303
diff_drug,0.0897
diff_drug,0.0348
diff_drug,0.0403
diff_drug,0.0357
diff_drug,0.0395
diff_drug,0.0229
diff_drug,0.0642
diff_drug,0.0839
diff_drug,0.0002
diff_drug,0.0018
diff_drug,0.0474
diff_drug,0.0074
diff_drug,0.028
diff_drug,0.0845
diff_drug,-0.0399
diff_drug,0.0559
diff_drug,0.0575
diff_drug,0.0374
diff_drug,0.0631
diff_drug,0.048
diff_drug,0.0355
diff_drug,-0.0107
diff_drug,0.0013
diff_drug,-0.0126
diff_drug,0.0059
diff_drug,0.0636
diff_drug,0.0376
diff_drug,-0.0509
diff_drug,0.0296
diff_drug,0.061
diff_drug,0.0054
diff_drug,0.041
diff_drug,0.0442
diff_drug,0.0097
diff_drug,0.031
diff_drug,0.0307
diff_drug,0.0516
diff_drug,0.0369
diff_drug,0.039
diff_drug,0.0459
diff_drug,0.0774
diff_drug,0.0413
diff_drug,0.0712
diff_drug,0.1226
diff_drug,-0.1139
diff_drug,0.0923
diff_drug,0.0974
diff_drug,0.0983
diff_drug,0.0661
diff_drug,0.0516
diff_drug,0.0932
diff_drug,0.0076
diff_drug,0.0477
diff_drug,0.0476
diff_drug,0.0457
diff_drug,0.0197
diff_drug,0.0621
diff_drug,0.0813
diff_drug,0.0189
diff_drug,0.024
diff_drug,0.0807
diff_drug,0.0398
diff_drug,0.0807
diff_drug,0.0679
diff_drug,0.0141
diff_drug,0.0499
diff_drug,0.0086
diff_drug,0.0479
diff_drug,0.0704
diff_drug,0.0468
diff_drug,0.031
diff_drug,0.0238
diff_drug,0.0182
diff_drug,0.0426
diff_drug,0.07
diff_drug,0.0314
diff_drug,0.0252
diff_drug,-0.031
diff_drug,0.0109
diff_drug,0.0498
diff_drug,0.0228
diff_drug,0.0038
diff_drug,0.0404
diff_drug,0.0514
diff_drug,0.0922
diff_drug,-0.0009
diff_drug,0.0491
diff_drug,0.0657
diff_drug,0.045
diff_drug,0.0601
diff_drug,0.055
diff_drug,0.0398
diff_drug,0.083
diff_drug,-0.0558
diff_drug,0.0105
diff_drug,0.0241
diff_drug,0.0422
diff_drug,0.0366
diff_drug,0.0129
diff_drug,0.0497
diff_drug,0.0005
diff_drug,0.039
diff_drug,0.0692
diff_drug,0.0071
diff_drug,0.0355
diff_drug,0.0151
diff_drug,0.2128
diff_drug,0.0062
diff_drug,0.0709
diff_drug,0.0129
diff_drug,0.0445
diff_drug,-0.0106
diff_drug,0.0183
diff_drug,0.032
diff_drug,0.0331
diff_drug,-0.0475
diff_drug,0.0385
diff_drug,0.0372
diff_drug,0.1003
diff_drug,0.0399
diff_drug,0.0439
diff_drug,-0.0886
diff_drug,0.0239
diff_drug,0.0528
diff_drug,0.0469
diff_drug,-0.0073
diff_drug,0.0435
diff_drug,0.0166
diff_drug,-0.0092
diff_drug,0.018
diff_drug,0.0161
diff_drug,0.0366
diff_drug,0.0269
diff_drug,0.0161
diff_drug,-0.0548
diff_drug,0.0594
diff_drug,0.0292
diff_drug,0.1069
diff_drug,0.0844
diff_drug,0.0076
diff_drug,0.0475
diff_drug,0.0487
diff_drug,0.0181
diff_drug,0.0153
diff_drug,0.012
diff_drug,0.0258
diff_drug,0.0194
diff_drug,0.0098
diff_drug,0.0751
diff_drug,0.021
diff_drug,0.0204
diff_drug,-0.0136
diff_drug,0.021
diff_drug,0.0814
diff_drug,0.0744
diff_drug,0.0615
diff_drug,0.0183
diff_drug,-0.0086
diff_drug,0.0209
diff_drug,0.0337
diff_drug,0.0333
diff_drug,0.042
diff_drug,0.0559
diff_drug,0.0089
diff_drug,0.0088
diff_drug,0.0326
diff_drug,0.0927
diff_drug,0.0483
diff_drug,0.0223
diff_drug,0.0269
diff_drug,0.0293
diff_drug,0.0447
diff_drug,0.045
diff_drug,0.0316
diff_drug,0.0179
diff_drug,0.0282
diff_drug,-0.0222
diff_drug,0.0482
diff_drug,-0.0053
diff_drug,0.0806
diff_drug,0.07
diff_drug,-0.0061
diff_drug,0.0387
diff_drug,0.0538
diff_drug,0.0406
diff_drug,-0.0045
diff_drug,-0.0634
diff_drug,0.0302
diff_drug,0.0575
diff_drug,0.0762
diff_drug,0.0608
diff_drug,0.0309
diff_drug,0.0481
diff_drug,0.032
diff_drug,0.0451
diff_drug,0.0538
diff_drug,0.0053
diff_drug,-0.0656
diff_drug,-0.01
diff_drug,0.0994
diff_drug,0.0649
diff_drug,0.078
diff_drug,0.0166
diff_drug,0.0423
diff_drug,0.0472
diff_drug,0.4156
diff_drug,0.02
diff_drug,0.0226
diff_drug,0.0391
diff_drug,0.0278
diff_drug,-0.0153
diff_drug,0.0821
diff_drug,-0.0204
diff_drug,0.0058
diff_drug,0.017
diff_drug,0.021
diff_drug,0.0091
diff_drug,0.0112
diff_drug,0.0621
diff_drug,0.051
diff_drug,0.0543
diff_drug,0.041
diff_drug,0.0403
diff_drug,0.0117
diff_drug,-0.0714
diff_drug,0.0635
diff_drug,0.0291
diff_drug,0.043
diff_drug,0.0471
diff_drug,0.0754
diff_drug,-0.0098
diff_drug,0.1047
diff_drug,0.0258
diff_drug,0.0358
diff_drug,0.0401
diff_drug,0.0318
diff_drug,0.061
diff_drug,0.0154
diff_drug,0.0265
diff_drug,0.0277
diff_drug,0.0404
diff_drug,0.0337
diff_drug,-0.0169
diff_drug,0.0381
diff_drug,0.0448
diff_drug,0.045
diff_drug,0.0597
diff_drug,0.0194
diff_drug,0.0012
diff_drug,0.0404
diff_drug,0.032
diff_drug,0.0099
diff_drug,0.0213
diff_drug,0.0147
diff_drug,0.0385
diff_drug,0.0275
diff_drug,0.0265
diff_drug,0.0017
diff_drug,0.0076
diff_drug,0.0614
diff_drug,0.1729
diff_drug,-0.0128
diff_drug,0.0424
diff_drug,0.0042
diff_drug,0.0343
diff_drug,0.0283
diff_drug,0.0477
diff_drug,0.0453
diff_drug,0.0443
diff_drug,0.0402
diff_drug,-0.0061
diff_drug,0.0228
diff_drug,0.0486
diff_drug,0.0382
diff_drug,-0.0087
diff_drug,0.0636
diff_drug,0.0268
diff_drug,0.0479
diff_drug,0.0768
diff_drug,-0.032
diff_drug,0.0797
diff_drug,0.0096
diff_drug,0.0364
diff_drug,0.0097
diff_drug,0.0553
diff_drug,0.0007
diff_drug,0.0077
diff_drug,0.0493
diff_drug,-0.0032
diff_drug,0.0277
diff_drug,-0.0113
diff_drug,0.0609
diff_drug,-0.1044
diff_drug,-0.0359
diff_drug,0.037
diff_drug,0.0028
diff_drug,0.0472
diff_drug,0.0815
diff_drug,-0.0966
diff_drug,0.0379
diff_drug,0.0869
diff_drug,0.1279
diff_drug,0.0258
diff_drug,0.0429
diff_drug,0.0331
diff_drug,0.046
diff_drug,0.0703
diff_drug,0.0388
diff_drug,0.0064
diff_drug,0.1026
diff_drug,0.0356
diff_drug,0.0667
diff_drug,0.0455
diff_drug,0.1094
diff_drug,0.0043
diff_drug,0.0252
diff_drug,0.0314
diff_drug,0.0257
diff_drug,0.0963
diff_drug,0.054
diff_drug,0.0092
diff_drug,0.0641
diff_drug,0.0556
diff_drug,0.0522
diff_drug,0.0632
diff_drug,0.0139
diff_drug,0.0862
diff_drug,0.0272
diff_drug,0.0206
diff_drug,0.014
diff_drug,0.0663
diff_drug,0.0225
diff_drug,0.0306
diff_drug,0.0542
diff_drug,0.0586
diff_drug,0.0032
diff_drug,0.0304
diff_drug,-0.0248
diff_drug,0.0296
diff_drug,0.0742
diff_drug,0.0479
diff_drug,-0.0028
diff_drug,0.0299
diff_drug,0.0034
diff_drug,0.0298
diff_drug,0.0337
diff_drug,0.0135
diff_drug,0.0394
diff_drug,0.0289
diff_drug,0.0139
diff_drug,0.0669
diff_drug,0.041
diff_drug,-0.0063
diff_drug,0.0203
diff_drug,0.001
diff_drug,0.063
diff_drug,0.0651
diff_drug,-0.0125
diff_drug,0.1191
diff_drug,0.0718
diff_drug,-0.0048
diff_drug,0.085
diff_drug,0.0935
diff_drug,0.1611
diff_drug,0.0198
diff_drug,-0.0166
diff_drug,0.0041
diff_drug,0.054
diff_drug,0.0179
diff_drug,0.0211
diff_drug,0.0371
diff_drug,0.047
diff_drug,0.0183
diff_drug,0.0495
diff_drug,0.0092
diff_drug,0.0702
diff_drug,0.0065
diff_drug,0.0008
diff_drug,0.0304
diff_drug,0.0618
diff_drug,0.0517
diff_drug,0.0118
diff_drug,0.0171
diff_drug,0.0687
diff_drug,0.0362
diff_drug,0.0106
diff_drug,-0.0235
diff_drug,0.0412
diff_drug,0.0285
diff_drug,0.0378
diff_drug,0.0807
diff_drug,0.0328
diff_drug,0.0173
diff_drug,0.0443
diff_drug,-0.0183
diff_drug,0.0781
diff_drug,0.06
diff_drug,-0.0669
diff_drug,0.0267
diff_drug,0.025
diff_drug,0.0479
diff_drug,0.0909
diff_drug,0.0705
diff_drug,0.0512
diff_drug,0.2493
diff_drug,0.0494
diff_drug,0.0484
diff_drug,0.0291
diff_drug,0.103
diff_drug,0.0401
diff_drug,-0.0079
diff_drug,-0.0222
diff_drug,0.0615
diff_drug,0.0516
diff_drug,0.0544
diff_drug,0.1186
diff_drug,0.1673
diff_drug,0.055
diff_drug,0.013
diff_drug,0.0486
diff_drug,0.1396
diff_drug,0.0148
diff_drug,0.0825
diff_drug,0.0411
diff_drug,0.0349
diff_drug,0.0129
diff_drug,-0.0306
diff_drug,0.0133
diff_drug,0.0013
diff_drug,-0.0059
diff_drug,-0.0026
diff_drug,0.0922
diff_drug,0.0786
diff_drug,0.0105
diff_drug,0.0353
diff_drug,0.0257
diff_drug,-0.0027
diff_drug,-0.0455
diff_drug,0.0386
diff_drug,-0.0343
diff_drug,-0.0413
diff_drug,0.0125
diff_drug,0.0985
diff_drug,0.0579
diff_drug,0.0553
diff_drug,0.255
diff_drug,-0.0195
diff_drug,0.0028
diff_drug,0.0528
diff_drug,0.015
diff_drug,0.0399
diff_drug,0.0246
diff_drug,0.0597
diff_drug,0.0291
diff_drug,0.0117
diff_drug,0.0401
diff_drug,0.0321
same_drug,0.0528
same_drug,0.074
same_drug,0.112
same_drug,0.0409
same_drug,0.0723
same_drug,0.0666
same_drug,0.0416
same_drug,0.0284
same_drug,0.1127
same_drug,0.1726
same_drug,0.0984
same_drug,-0.0505
same_drug,0.0302
same_drug,0.0403
same_drug,0.086
same_drug,0.0175
same_drug,0.1224
same_drug,0.0054
same_drug,0.108
same_drug,0.0445
same_drug,0.1375
same_drug,0.0769
same_drug,0.0776
same_drug,0.1498
same_drug,0.0392
same_drug,0.1055
same_drug,0.1494
same_drug,0.0191
same_drug,0.0284
same_drug,0.0536
same_drug,-0.002
same_drug,0.0502
same_drug,0.0688
same_drug,0.0825
same_drug,0.1002
same_drug,0.0009
same_drug,0.0905
same_drug,0.113
same_drug,0.0487
same_drug,0.0373
same_drug,0.0373
same_drug,0.0463
same_drug,0.0217
same_drug,-0.0146
same_drug,0.0687
same_drug,0.0504
same_drug,0.0174
same_drug,0.0499
same_drug,0.1448
same_drug,0.0781
same_drug,0.0659
same_drug,-0.0083
same_drug,0.1058
same_drug,0.0629
same_drug,0.1119
same_drug,0.0929
same_drug,0.0398
same_drug,0.0976
same_drug,0.0675
same_drug,0.041
same_drug,0.0989
same_drug,0.0121
same_drug,0.0511
same_drug,0.139
same_drug,0.0518
same_drug,0.1744
same_drug,0.0546
same_drug,0.0793
same_drug,0.0081
same_drug,0.0345
same_drug,0.1839
same_drug,0.048
same_drug,0.0315
same_drug,0.0637
same_drug,0.0792
same_drug,0.2195
same_drug,0.0583
same_drug,0.0653
same_drug,0.0745
same_drug,0.0323
same_drug,0.1599
same_drug,0.0891
same_drug,0.0624
same_drug,0.0499
same_drug,0.0264
same_drug,0.1056
same_drug,0.0757
same_drug,0.0985
same_drug,0.136
same_drug,0.1096
same_drug,0.0858
same_drug,0.0318
same_drug,0.0307
same_drug,0.0307
same_drug,0.1048
same_drug,0.1016
same_drug,0.0524
same_drug,0.0584
same_drug,0.0432
same_drug,0.3384
same_drug,0.1342
same_drug,0.0615
same_drug,0.063
same_drug,0.0244
same_drug,0.0524
same_drug,0.0542
same_drug,0.037
same_drug,0.0428
same_drug,0.0113
same_drug,0.0628
same_drug,0.0398
same_drug,0.0733
same_drug,0.0756
same_drug,0.0772
same_drug,0.1988
same_drug,0.0877
same_drug,0.0502
same_drug,0.0396
same_drug,0.1056
same_drug,0.0534
same_drug,0.0511
same_drug,0.0057
same_drug,0.0522
same_drug,0.0671
same_drug,0.0933
same_drug,0.1584
same_drug,0.0694
same_drug,-0.0014
same_drug,0.1361
same_drug,0.0766
same_drug,0.1068
same_drug,0.3329
same_drug,0.0295
same_drug,0.3761
same_drug,0.2886
same_drug,0.0675
same_drug,0.1285
same_drug,0.0505
same_drug,0.0738
same_drug,0.0366
same_drug,0.0374
same_drug,0.0988
same_drug,0.0749
same_drug,0.0559
same_drug,0.0543
same_drug,0.0091
same_drug,0.0548
same_drug,0.1595
same_drug,0.2092
same_drug,0.0742
same_drug,0.0641
same_drug,0.0987
same_drug,0.0907
same_drug,0.0624
same_drug,0.0828
same_drug,0.1588
same_drug,0.0539
same_drug,0.0692
same_drug,0.0831
same_drug,-0.0202
same_drug,0.3542
same_drug,0.0606
same_drug,0.1431
same_drug,0.0446
same_drug,0.05
same_drug,0.1495
same_drug,0.0104
same_drug,0.0572
same_drug,0.0928
same_drug,0.0536
same_drug,0.0171
same_drug,0.0337
same_drug,0.0987
same_drug,0.0637
same_drug,0.0791
same_drug,0.0698
same_drug,0.0036
same_drug,0.0126
same_drug,0.0063
same_drug,0.0588
same_drug,0.0594
same_drug,0.007
same_drug,0.1324
same_drug,0.1237
same_drug,0.1072
same_drug,0.0673
same_drug,0.0816
same_drug,0.1491
same_drug,0.0459
same_drug,0.0529
same_drug,0.0445
same_drug,0.0534
same_drug,-0.0683
same_drug,0.0838
same_drug,0.0534
same_drug,0.1602
same_drug,0.4508
same_drug,0.1281
same_drug,0.149
same_drug,0.1493
same_drug,0.0255
same_drug,0.1035
same_drug,0.1317
same_drug,0.0503
same_drug,0.0577
same_drug,0.0577
same_drug,0.0811
same_drug,0.4737
same_drug,0.113
same_drug,0.0693
same_drug,0.0689
same_drug,0.0444
same_drug,0.0946
same_drug,0.0401
same_drug,0.1265
same_drug,0.0397
same_drug,0.0534
same_drug,0.0266
same_drug,0.2025
same_drug,0.0811
same_drug,0.0166
same_drug,0.1597
same_drug,0.0716
same_drug,0.1216
same_drug,0.0844
same_drug,-0.0148
same_drug,0.0219
same_drug,0.0195
same_drug,0.0898
same_drug,0.0194
same_drug,0.0017
same_drug,0.0427
same_drug,0.054
same_drug,0.0556
same_drug,0.0975
same_drug,0.0772
same_drug,0.0628
same_drug,0.0631
same_drug,0.0496
same_drug,-0.008
same_drug,0.0557
same_drug,0.0928
same_drug,0.0595
same_drug,0.1163
same_drug,0.0518
same_drug,-0.0115
same_drug,0.0597
same_drug,0.0627
same_drug,0.0766
same_drug,0.1096
same_drug,0.0264
same_drug,0.1129
same_drug,0.0669
same_drug,0.0925
same_drug,-0.0233
same_drug,-0.0321
same_drug,0.4715
same_drug,0.0378
same_drug,0.1135
same_drug,0.0891
same_drug,0.0559
same_drug,0.038
same_drug,0.1008
same_drug,0.1512
same_drug,0.0398
same_drug,0.1219
same_drug,0.0693
same_drug,0.0685
same_drug,0.0678
same_drug,0.1451
same_drug,0.1318
same_drug,0.0127
same_drug,0.0585
same_drug,0.047
same_drug,0.0367
same_drug,0.0758
same_drug,0.0267
same_drug,0.0848
same_drug,0.1318
same_drug,0.1147
same_drug,0.0661
same_drug,-0.03
same_drug,0.0058
same_drug,0.0755
same_drug,0.0626
same_drug,0.0309
same_drug,0.0087
same_drug,0.0809
same_drug,0.0703
same_drug,0.0345
same_drug,0.0965
same_drug,0.0232
same_drug,0.0494
same_drug,0.0589
same_drug,0.072
same_drug,0.0485
same_drug,0.0705
same_drug,0.0571
same_drug,0.0725
same_drug,0.0665
same_drug,0.0595
same_drug,0.0409
same_drug,0.099
same_drug,0.0443
same_drug,0.1282
same_drug,0.0753
same_drug,0.3347
same_drug,0.0212
same_drug,0.0826
same_drug,0.062
same_drug,0.1132
same_drug,0.3169
same_drug,0.0296
same_drug,0.0416
same_drug,0.1822
same_drug,0.0327
same_drug,0.0397
same_drug,0.0322
same_drug,0.0634
same_drug,0.054
same_drug,0.0618
same_drug,0.1138
same_drug,0.0994
same_drug,0.0438
same_drug,0.1564
same_drug,0.0967
same_drug,0.1117
same_drug,0.2607
same_drug,0.1079
same_drug,0.0474
same_drug,0.0075
same_drug,0.0421
same_drug,0.2783
same_drug,0.0698
same_drug,0.0516
same_drug,0.104
same_drug,0.0954
same_drug,0.1329
same_drug,0.3914
same_drug,0.1088
same_drug,0.0481
same_drug,0.0253
same_drug,0.0983
same_drug,0.0763
same_drug,0.1308
same_drug,0.0701
same_drug,0.072
same_drug,0.0843
